neighbourhood,price
17. Hernals,81.0
Alsergrund,91.72727272727273
Donaustadt,108.8
Favoriten,77.66666666666667
Fischamend,59.0
Graben,113.0
Innere Stadt,154.05714285714285
Josefstadt,94.54545454545455
Kaerntner Strasse,161.5
Landstrasse,108.23076923076923
Leopoldstadt,99.58333333333333
Margareten,143.14285714285714
Mariahilf,96.14285714285714
Neubau,111.83333333333333
Ottakring,66.0
Rudolfsheim-Funfhaus,86.0
Schonbrunn,87.41666666666667
Schwechat,115.0
Vienna,92.1
Voesendorf,90.5
Wahring,118.0
Wieden,109.375
